model,request_count,read_request_count,write_request_count,device_response_time_us,end_to_end_delay_us,iops,bandwidth_Bps,issued_flash_read_cmd,issued_flash_program_cmd,issued_flash_read_cmd_for_mapping,issued_flash_program_cmd_for_mapping,cmt_hits,cmt_misses,total_cmt_queries,page_capacity_bytes,write_payload_bytes_total,flash_program_bytes_data,flash_program_bytes_total,waf_data,waf_total,cmt_dram_bytes,gtd_dram_bytes_est,ftl_metadata_bytes_est,dram_total_bytes_est
DFTL,6999,4381,2618,3966,3966,6275.932231,53549112.443075,14942,4714,6882,0,63,0,13341,8192,23403520.0,38617088,38617088,1.650055,1.650055,2097152,30480,0,2127632
GFTL,6999,4381,2618,4517,4517,6291.100599,53678535.865677,14539,4698,6633,0,297,0,13340,8192,23403520.0,38486016,38486016,1.644454,1.644454,2097152,1912,975176,3074240
CCFTL,6999,4381,2618,3966,3966,6275.932231,53549112.443075,14942,4714,6882,0,63,0,13341,8192,23403520.0,38617088,38617088,1.650055,1.650055,1468006,30480,146800,1645286
COMPRESSION,6999,4381,2618,3966,3966,6275.932231,53549112.443075,14942,4714,6882,0,63,13278,13341,8192,23403520.0,38617088,38617088,1.650055,1.650055,1153433,30480,230686,1414599
